file,line,type,commit,author,date,time,timezone,datetime,depth,length
index.js,10,js,8335f352,Francisco,2026-04-25,21:44:01,-07:00,2026-04-25T21:44:01-07:00,0,17
index.js,11,js,8335f352,Francisco,2026-04-25,21:44:01,-07:00,2026-04-25T21:44:01-07:00,1,24
index.js,12,js,8335f352,Francisco,2026-04-25,21:44:01,-07:00,2026-04-25T21:44:01-07:00,2,2
index.js,13,js,8335f352,Francisco,2026-04-25,21:44:01,-07:00,2026-04-25T21:44:01-07:00,3,54
index.js,14,js,8335f352,Francisco,2026-04-25,21:44:01,-07:00,2026-04-25T21:44:01-07:00,3,54
index.js,15,js,8335f352,Francisco,2026-04-25,21:44:01,-07:00,2026-04-25T21:44:01-07:00,3,48
index.js,16,js,8335f352,Francisco,2026-04-25,21:44:01,-07:00,2026-04-25T21:44:01-07:00,3,48
index.js,17,js,8335f352,Francisco,2026-04-25,21:44:01,-07:00,2026-04-25T21:44:01-07:00,2,3
index.js,18,js,8335f352,Francisco,2026-04-25,21:44:01,-07:00,2026-04-25T21:44:01-07:00,1,0
index.js,19,js,8335f352,Francisco,2026-04-25,21:44:01,-07:00,2026-04-25T21:44:01-07:00,0,0
index.html,1,html,fa58a3df,Francisco,2026-04-03,20:09:06,-07:00,2026-04-03T20:09:06-07:00,0,13
index.html,2,html,58867ccd,Francisco,2026-04-03,19:53:25,-07:00,2026-04-03T19:53:25-07:00,0,14
index.html,3,html,58867ccd,Francisco,2026-04-03,19:53:25,-07:00,2026-04-03T19:53:25-07:00,0,4
index.html,4,html,58867ccd,Francisco,2026-04-03,19:53:25,-07:00,2026-04-03T19:53:25-07:00,2,20
index.html,5,html,58867ccd,Francisco,2026-04-03,19:53:25,-07:00,2026-04-03T19:53:25-07:00,2,68
index.html,6,html,58867ccd,Francisco,2026-04-03,19:53:25,-07:00,2026-04-03T19:53:25-07:00,2,51
index.html,7,html,f4e4bc6d,Francisco,2026-04-03,20:14:00,-07:00,2026-04-03T20:14:00-07:00,2,38
index.html,8,html,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,2,45
index.html,9,html,58867ccd,Francisco,2026-04-03,19:53:25,-07:00,2026-04-03T19:53:25-07:00,0,5
index.html,10,html,58867ccd,Francisco,2026-04-03,19:53:25,-07:00,2026-04-03T19:53:25-07:00,0,4
index.html,11,html,58867ccd,Francisco,2026-04-03,19:53:25,-07:00,2026-04-03T19:53:25-07:00,2,16
index.html,12,html,58867ccd,Francisco,2026-04-03,19:53:25,-07:00,2026-04-03T19:53:25-07:00,2,55
index.html,13,html,fa58a3df,Francisco,2026-04-03,20:09:06,-07:00,2026-04-03T20:09:06-07:00,2,52
index.html,14,html,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,2,28
index.html,15,html,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,0,0
index.html,16,html,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,2,7
index.html,17,html,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,3,15
index.html,18,html,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,3,26
index.html,19,html,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,2,8
index.html,20,html,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,0,0
index.html,21,html,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,2,44
index.html,22,html,58867ccd,Francisco,2026-04-03,19:53:25,-07:00,2026-04-03T19:53:25-07:00,0,5
index.html,23,html,58867ccd,Francisco,2026-04-03,19:53:25,-07:00,2026-04-03T19:53:25-07:00,0,5
global.js,1,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,0,36
global.js,2,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,1,3
global.js,3,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,2,32
global.js,4,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,2,17
global.js,5,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,3,66
global.js,6,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,2,0
global.js,7,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,2,33
global.js,8,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,2,10
global.js,9,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,1,15
global.js,10,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,2,59
global.js,11,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,1,0
global.js,12,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,0,0
global.js,13,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,0,79
global.js,14,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,1,30
global.js,15,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,1,29
global.js,16,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,2,48
global.js,17,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,2,19
global.js,18,js,ac458d32,Francisco,2026-05-01,20:17:44,-06:00,2026-05-01T20:17:44-06:00,1,49
global.js,19,js,ac458d32,Francisco,2026-05-01,20:17:44,-06:00,2026-05-01T20:17:44-06:00,1,49
global.js,20,js,ac458d32,Francisco,2026-05-01,20:17:44,-06:00,2026-05-01T20:17:44-06:00,1,3
global.js,21,js,ac458d32,Francisco,2026-05-01,20:17:44,-06:00,2026-05-01T20:17:44-06:00,2,27
global.js,22,js,ac458d32,Francisco,2026-05-01,20:17:44,-06:00,2026-05-01T20:17:44-06:00,2,30
global.js,23,js,ac458d32,Francisco,2026-05-01,20:17:44,-06:00,2026-05-01T20:17:44-06:00,1,4
global.js,24,js,ac458d32,Francisco,2026-05-01,20:17:44,-06:00,2026-05-01T20:17:44-06:00,0,0
global.js,25,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,2,36
global.js,26,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,1,0
global.js,27,js,347e6a27,Francisco,2026-04-25,21:39:11,-07:00,2026-04-25T21:39:11-07:00,0,0
global.js,28,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,0,26
global.js,29,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,0,0
global.js,30,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,0,41
global.js,31,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,1,52
global.js,32,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,0,0
global.js,33,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,0,0
global.js,34,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,0,88
global.js,35,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,1,3
global.js,36,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,1,14
global.js,37,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,0,0
global.js,38,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,0,11
global.js,39,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,1,25
global.js,40,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,1,38
global.js,41,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,1,36
global.js,42,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,1,26
global.js,43,js,00000000,Not Committed Yet,2026-05-09,14:38:38,-07:00,2026-05-09T14:38:38-07:00,1,30
global.js,44,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,1,57
global.js,45,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,0,0
global.js,46,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,0,0
global.js,47,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,0,38
global.js,48,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,0,25
global.js,49,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,0,0
global.js,50,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,0,20
global.js,51,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,1,14
global.js,52,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,1,18
global.js,53,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,0,0
global.js,54,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,1,52
global.js,55,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,0,0
global.js,56,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,1,34
global.js,57,js,a901d952,Francisco,2026-04-18,20:09:03,-07:00,2026-04-18T20:09:03-07:00,1,11
